Territory;Year;Density
Republic of Lithuania;1996;55.4
Republic of Lithuania;1997;54.9
Republic of Lithuania;1998;54.6
Republic of Lithuania;1999;54.2
Republic of Lithuania;2000;53.8
Republic of Lithuania;2001;53.4
Republic of Lithuania;2002;52.9
Republic of Lithuania;2003;52.5
Republic of Lithuania;2004;52.1
Republic of Lithuania;2005;51.4
Republic of Lithuania;2006;50.4
Republic of Lithuania;2007;49.8
Republic of Lithuania;2008;49.2
Republic of Lithuania;2009;48.8
Republic of Lithuania;2010;48.1
Republic of Lithuania;2011;46.7
Republic of Lithuania;2012;46.0
Republic of Lithuania;2013;45.5
Republic of Lithuania;2014;45.1
Republic of Lithuania;2015;44.7
Republic of Lithuania;2016;44.2
Republic of Lithuania;2017;43.6
Republic of Lithuania;2018;43.0
Vilnius county;1996;90.9
Vilnius county;1997;90.2
Vilnius county;1998;89.6
Vilnius county;1999;89.1
Vilnius county;2000;88.7
Vilnius county;2001;87.2
Vilnius county;2002;86.6
Vilnius county;2003;86.7
Vilnius county;2004;86.5
Vilnius county;2005;86.2
Vilnius county;2006;85.4
Vilnius county;2007;85.1
Vilnius county;2008;84.9
Vilnius county;2009;84.9
Vilnius county;2010;84.7
Vilnius county;2011;83.4
Vilnius county;2012;82.8
Vilnius county;2013;82.9
Vilnius county;2014;82.8
Vilnius county;2015;83.0
Vilnius county;2016;82.8
Vilnius county;2017;82.8
Vilnius county;2018;82.8
Elektrėnai mun.;1996;
Elektrėnai mun.;1997;
Elektrėnai mun.;1998;
Elektrėnai mun.;1999;
Elektrėnai mun.;2000;
Elektrėnai mun.;2001;53.9
Elektrėnai mun.;2002;53.1
Elektrėnai mun.;2003;55.7
Elektrėnai mun.;2004;55.0
Elektrėnai mun.;2005;54.3
Elektrėnai mun.;2006;53.0
Elektrėnai mun.;2007;52.4
Elektrėnai mun.;2008;51.7
Elektrėnai mun.;2009;51.2
Elektrėnai mun.;2010;50.7
Elektrėnai mun.;2011;49.2
Elektrėnai mun.;2012;48.5
Elektrėnai mun.;2013;47.9
Elektrėnai mun.;2014;47.6
Elektrėnai mun.;2015;47.5
Elektrėnai mun.;2016;47.1
Elektrėnai mun.;2017;46.7
Elektrėnai mun.;2018;46.6
Šalčininkai d. mun.;1996;
Šalčininkai d. mun.;1997;
Šalčininkai d. mun.;1998;
Šalčininkai d. mun.;1999;
Šalčininkai d. mun.;2000;
Šalčininkai d. mun.;2001;26.4
Šalčininkai d. mun.;2002;26.1
Šalčininkai d. mun.;2003;25.9
Šalčininkai d. mun.;2004;25.6
Šalčininkai d. mun.;2005;25.3
Šalčininkai d. mun.;2006;24.8
Šalčininkai d. mun.;2007;24.5
Šalčininkai d. mun.;2008;24.2
Šalčininkai d. mun.;2009;24.0
Šalčininkai d. mun.;2010;23.7
Šalčininkai d. mun.;2011;23.3
Šalčininkai d. mun.;2012;22.9
Šalčininkai d. mun.;2013;22.6
Šalčininkai d. mun.;2014;22.2
Šalčininkai d. mun.;2015;21.9
Šalčininkai d. mun.;2016;21.6
Šalčininkai d. mun.;2017;21.3
Šalčininkai d. mun.;2018;20.9
Širvintos d. mun.;1996;
Širvintos d. mun.;1997;
Širvintos d. mun.;1998;
Širvintos d. mun.;1999;
Širvintos d. mun.;2000;
Širvintos d. mun.;2001;22.3
Širvintos d. mun.;2002;22.2
Širvintos d. mun.;2003;21.9
Širvintos d. mun.;2004;21.7
Širvintos d. mun.;2005;21.6
Širvintos d. mun.;2006;21.2
Širvintos d. mun.;2007;21.0
Širvintos d. mun.;2008;20.7
Širvintos d. mun.;2009;20.4
Širvintos d. mun.;2010;20.1
Širvintos d. mun.;2011;19.5
Širvintos d. mun.;2012;19.0
Širvintos d. mun.;2013;18.7
Širvintos d. mun.;2014;18.3
Širvintos d. mun.;2015;18.0
Širvintos d. mun.;2016;17.8
Širvintos d. mun.;2017;17.5
Širvintos d. mun.;2018;17.2
Švenčionys d. mun.;1996;
Švenčionys d. mun.;1997;
Švenčionys d. mun.;1998;
Švenčionys d. mun.;1999;
Švenčionys d. mun.;2000;
Švenčionys d. mun.;2001;19.6
Švenčionys d. mun.;2002;19.4
Švenčionys d. mun.;2003;19.2
Švenčionys d. mun.;2004;18.9
Švenčionys d. mun.;2005;18.6
Švenčionys d. mun.;2006;18.1
Švenčionys d. mun.;2007;17.8
Švenčionys d. mun.;2008;17.5
Švenčionys d. mun.;2009;17.3
Švenčionys d. mun.;2010;17.0
Švenčionys d. mun.;2011;16.5
Švenčionys d. mun.;2012;16.2
Švenčionys d. mun.;2013;15.9
Švenčionys d. mun.;2014;15.5
Švenčionys d. mun.;2015;15.2
Švenčionys d. mun.;2016;14.9
Švenčionys d. mun.;2017;14.5
Švenčionys d. mun.;2018;14.1
Trakai d. mun.;1996;
Trakai d. mun.;1997;
Trakai d. mun.;1998;
Trakai d. mun.;1999;
Trakai d. mun.;2000;
Trakai d. mun.;2001;31.0
Trakai d. mun.;2002;30.7
Trakai d. mun.;2003;30.6
