Territory;Year;Total;Urban;Rural
Akmenė d. mun.;2018;19606;12083;7523
Akmenė d. mun.;2017;20210;12425;7785
Akmenė d. mun.;2016;20824;12849;7975
Akmenė d. mun.;2015;21332;13173;8159
Akmenė d. mun.;2014;21677;13360;8317
Akmenė d. mun.;2013;22210;13678;8532
Akmenė d. mun.;2012;22796;14008;8788
Akmenė d. mun.;2011;23460;14369;9091
Akmenė d. mun.;2010;24501;15001;9500
Akmenė d. mun.;2009;25310;15549;9761
Akmenė d. mun.;2008;25967;15975;9992
Akmenė d. mun.;2007;26665;16429;10236
Akmenė d. mun.;2006;27328;16816;10512
Akmenė d. mun.;2005;28239;17391;10848
Akmenė d. mun.;2004;28951;17986;10965
Akmenė d. mun.;2003;29500;18405;11095
Akmenė d. mun.;2002;29933;18696;11237
Akmenė d. mun.;2001;30266;18923;11343
Akmenė d. mun.;2000;30655;;
Akmenė d. mun.;1999;30988;;
Akmenė d. mun.;1998;31333;;
Akmenė d. mun.;1997;31579;;
Akmenė d. mun.;1996;31806;;
Alytus county;2018;138095;79413;58682
Alytus county;2017;141616;81671;59945
Alytus county;2016;145109;84362;60747
Alytus county;2015;147809;86170;61639
Alytus county;2014;149851;87318;62533
Alytus county;2013;152139;88796;63343
Alytus county;2012;154980;90569;64411
Alytus county;2011;158403;93037;65366
Alytus county;2010;164833;97642;67191
Alytus county;2009;167603;99271;68332
Alytus county;2008;170249;100774;69475
Alytus county;2007;173028;102256;70772
Alytus county;2006;175813;103540;72273
Alytus county;2005;179626;105739;73887
Alytus county;2004;182751;107756;74995
Alytus county;2003;184992;109758;75234
Alytus county;2002;186484;110357;76127
Alytus county;2001;187990;110949;77041
Alytus county;2000;189453;;
Alytus county;1999;191168;;
Alytus county;1998;192912;;
Alytus county;1997;194736;;
Alytus county;1996;196470;;
Alytus d. mun.;2018;26077;2287;23790
Alytus d. mun.;2017;26563;2401;24162
Alytus d. mun.;2016;26831;2468;24363
Alytus d. mun.;2015;27126;2496;24630
Alytus d. mun.;2014;27347;2512;24835
Alytus d. mun.;2013;27618;2552;25066
Alytus d. mun.;2012;27960;2630;25330
Alytus d. mun.;2011;28210;2691;25519
Alytus d. mun.;2010;29052;2852;26200
Alytus d. mun.;2009;29441;2980;26461
Alytus d. mun.;2008;29773;3064;26709
Alytus d. mun.;2007;30281;3149;27132
Alytus d. mun.;2006;30786;3237;27549
Alytus d. mun.;2005;31415;3283;28132
Alytus d. mun.;2004;31741;3328;28413
Alytus d. mun.;2003;31828;3375;28453
Alytus d. mun.;2002;32255;3414;28841
Alytus d. mun.;2001;32644;3439;29205
Alytus d. mun.;2000;32722;;
Alytus d. mun.;1999;32852;;
Alytus d. mun.;1998;32910;;
Alytus d. mun.;1997;32736;;
Alytus d. mun.;1996;32647;;
Alytus t. mun.;2018;51534;51534;
Alytus t. mun.;2017;52792;52792;
Alytus t. mun.;2016;54431;54431;
Alytus t. mun.;2015;55614;55614;
Alytus t. mun.;2014;56357;56357;
Alytus t. mun.;2013;57281;57281;
Alytus t. mun.;2012;58515;58515;
Alytus t. mun.;2011;60302;60302;
Alytus t. mun.;2010;63630;63630;
Alytus t. mun.;2009;64770;64770;
Alytus t. mun.;2008;65856;65856;
Alytus t. mun.;2007;66749;66749;
Alytus t. mun.;2006;67443;67443;
Alytus t. mun.;2005;68838;68838;
Alytus t. mun.;2004;70053;70053;
Alytus t. mun.;2003;71012;71012;
Alytus t. mun.;2002;71261;71261;
Alytus t. mun.;2001;71460;71460;
Alytus t. mun.;2000;72045;;
Alytus t. mun.;1999;72658;;
Alytus t. mun.;1998;73235;;
Alytus t. mun.;1997;74208;;
Alytus t. mun.;1996;74912;;
Anykščiai d. mun.;2018;24149;9764;14385
Anykščiai d. mun.;2017;24999;10130;14869
Anykščiai d. mun.;2016;25755;10560;15195
Anykščiai d. mun.;2015;26393;10811;15582
Anykščiai d. mun.;2014;26890;11003;15887
Anykščiai d. mun.;2013;27479;11266;16213
Anykščiai d. mun.;2012;28116;11490;16626
Anykščiai d. mun.;2011;28782;11733;17049
Anykščiai d. mun.;2010;29632;11998;17634
Anykščiai d. mun.;2009;30285;12145;18140
Anykščiai d. mun.;2008;30929;12392;18537
Anykščiai d. mun.;2007;31583;12614;18969
Anykščiai d. mun.;2006;32275;12401;19874
Anykščiai d. mun.;2005;33119;12797;20322
Anykščiai d. mun.;2004;33783;12983;20800
Anykščiai d. mun.;2003;34297;13179;21118
Anykščiai d. mun.;2002;34752;13231;21521
Anykščiai d. mun.;2001;35150;13301;21849
Anykščiai d. mun.;2000;35604;;
Anykščiai d. mun.;1999;36100;;
Anykščiai d. mun.;1998;36517;;
Anykščiai d. mun.;1997;36960;;
Anykščiai d. mun.;1996;37225;;
Birštonas mun.;2018;4168;2380;1788
Birštonas mun.;2017;4254;2416;1838
Birštonas mun.;2016;4330;2459;1871
Birštonas mun.;2015;4371;2492;1879
Birštonas mun.;2014;4369;2475;1894
Birštonas mun.;2013;4460;2525;1935
Birštonas mun.;2012;4532;2581;1951
Birštonas mun.;2011;4593;2627;1966
Birštonas mun.;2010;4679;2694;1985
Birštonas mun.;2009;4771;2757;2014
Birštonas mun.;2008;4861;2820;2041
Birštonas mun.;2007;4901;2818;2083
Birštonas mun.;2006;4971;2868;2103
Birštonas mun.;2005;5120;2961;2159
Birštonas mun.;2004;5240;3081;2159
Birštonas mun.;2003;5296;3125;2171
Birštonas mun.;2002;5362;3163;2199
Birštonas mun.;2001;5458;3244;2214
Birštonas mun.;2000;5499;;
Birštonas mun.;1999;5653;;
Birštonas mun.;1998;5738;;
Birštonas mun.;1997;5784;;
Birštonas mun.;1996;5836;;
Biržai d. mun.;2018;23778;11452;12326
Biržai d. mun.;2017;24645;11884;12761
Biržai d. mun.;2016;25418;12270;13148
Biržai d. mun.;2015;25937;12456;13481
Biržai d. mun.;2014;26473;12669;13804
Biržai d. mun.;2013;27026;12925;14101
Biržai d. mun.;2012;27632;13283;14349
Biržai d. mun.;2011;28322;13569;14753
Biržai d. mun.;2010;29439;14142;15297
Biržai d. mun.;2009;30178;14426;15752
Biržai d. mun.;2008;30959;14782;16177
Biržai d. mun.;2007;31766;15135;16631
Biržai d. mun.;2006;32515;15440;17075
Biržai d. mun.;2005;33551;15847;17704
Biržai d. mun.;2004;34266;16143;18123
Biržai d. mun.;2003;34715;16256;18459
Biržai d. mun.;2002;35063;16399;18664
Biržai d. mun.;2001;35498;16640;18858
Biržai d. mun.;2000;35942;;
Biržai d. mun.;1999;36384;;
Biržai d. mun.;1998;36852;;
Biržai d. mun.;1997;37289;;
Biržai d. mun.;1996;37718;;
Druskininkai mun.;2018;19605;12441;7164
Druskininkai mun.;2017;20041;12790;7251
Druskininkai mun.;2016;20400;13226;7174
Druskininkai mun.;2015;20728;13568;7160
Druskininkai mun.;2014;20943;13762;7181
Druskininkai mun.;2013;21221;14128;7093
Druskininkai mun.;2012;21495;14434;7061
Druskininkai mun.;2011;21876;14838;7038
Druskininkai mun.;2010;22656;15436;7220
Druskininkai mun.;2009;22954;15620;7334
Druskininkai mun.;2008;23187;15717;7470
Druskininkai mun.;2007;23469;15963;7506
Druskininkai mun.;2006;23865;16224;7641
Druskininkai mun.;2005;24252;16637;7615
Druskininkai mun.;2004;24665;17123;7542
Druskininkai mun.;2003;24965;17900;7065
Druskininkai mun.;2002;25169;18078;7091
Druskininkai mun.;2001;25500;18278;7222
Druskininkai mun.;2000;25786;;
Druskininkai mun.;1999;26268;;
Druskininkai mun.;1998;26778;;
Druskininkai mun.;1997;27213;;
Druskininkai mun.;1996;27856;;
Elektrėnai mun.;2018;23724;15784;7940
Elektrėnai mun.;2017;23770;15729;8041
Elektrėnai mun.;2016;23959;15949;8010
Elektrėnai mun.;2015;24164;16159;8005
Elektrėnai mun.;2014;24234;16254;7980
Elektrėnai mun.;2013;24396;16444;7952
Elektrėnai mun.;2012;24700;16692;8008
Elektrėnai mun.;2011;25061;16991;8070
Elektrėnai mun.;2010;25802;17561;8241
Elektrėnai mun.;2009;26041;17733;8308
Elektrėnai mun.;2008;26338;17957;8381
Elektrėnai mun.;2007;26654;18141;8513
Elektrėnai mun.;2006;26973;18342;8631
Elektrėnai mun.;2005;27649;18634;9015
Elektrėnai mun.;2004;28015;18820;9195
Elektrėnai mun.;2003;28333;19009;9324
Elektrėnai mun.;2002;28576;19104;9472
Elektrėnai mun.;2001;28976;19384;9592
Elektrėnai mun.;2000;29250;;
Elektrėnai mun.;1999;29504;;
Elektrėnai mun.;1998;29861;;
Elektrėnai mun.;1997;30090;;
Elektrėnai mun.;1996;30410;;
Ignalina d. mun.;2018;15366;5846;9520
